llm,round,avg_bleu_score,avg_chrF_score,avg_ter_test,avg_bert_score_f1,sample_count,composite_score
claude3.5,1,35.91231637156683,53.40138366218069,135.11066017316017,0.9079558670520782,40.0,44.99862656579518
claude3.5,2,42.250321304138076,58.427480873300375,63.801587301587304,0.9191181093454361,20.0,128.78802581039474
claude3.5,3,47.18292827402438,60.77680807447227,56.134920634920626,0.9297876685857773,20.0,144.80358257215374
claude3.5,4,34.23828098136658,56.73844572263242,71.50505050505049,0.9297865152359008,20.0,112.45032772253859
claude3.5,5,41.573828982416956,59.76395740142895,81.29549836128783,0.9326387196779251,20.0,113.30615999035058
gemini2.5,1,57.18882799357332,64.95487254194568,47.16468253968254,0.9392323181033134,40.0,168.90224980616782
gemini2.5,2,42.79726005346172,57.2965854655087,50.829365079365076,0.9162507057189941,20.0,140.88955101150475
gemini2.5,3,42.01738064382446,58.40582502046389,83.59920634920634,0.9182797521352768,20.0,108.65197452860967
gemini2.5,4,37.15956945958668,50.505864313087386,70.56060606060605,0.8383843898773193,20.0,100.94326669979996
gemini2.5,5,44.69794025239677,57.64000488226022,76.08280316175052,0.9212789744138717,20.0,118.38303941429365
gpt5,1,39.886987524955735,53.07918882985858,93.67063492063491,0.9144345849752427,40.0,90.73899993170366
gpt5,2,24.869316206988078,40.52945412040661,111.46825396825395,0.9076007425785064,20.0,44.690590616991386
gpt5,3,30.743900628512847,51.865725474319845,88.99999999999999,0.9098660469055175,20.0,84.59623079338446
gpt5,4,27.01882009270247,44.25378486149913,88.92803030303028,0.8962920159101486,20.0,71.97377624218618
gpt5,5,44.702684606811005,58.125650362671294,99.7494698284172,0.917569637298584,20.0,94.83582887092348
llama3_1b,1,4.248400480766291,14.704500862045155,117.73258735312307,0.5295619085431099,40.0,-45.82349515600063
llama3_1b,2,6.8936154089200015,10.433886363861301,121.00793650793653,0.8465400248765945,20.0,-19.026432247495777
llama3_1b,3,2.671854361332259,13.242718008926849,148.5,0.8154431283473969,20.0,-51.04111479500121
llama3_1b,4,2.1287274418184974,11.304921624556247,127.24747474747474,0.839780580997467,20.0,-29.835767581353295
llama3_1b,5,10.149182384572436,18.883331269113384,140.71303258145363,0.8605085343122483,20.0,-25.629665496542998
llama3_8b,1,22.10549678733513,39.6279120828602,115.29529349618636,0.5598146498203278,40.0,2.419580356041763
llama3_8b,2,14.133658136273834,37.96205782883509,119.56746031746033,0.9025541394948959,20.0,22.783669597138186
llama3_8b,3,8.318503808155022,41.53693432928439,129.0753968253968,0.8915764272212983,20.0,9.937684034172435
llama3_8b,4,16.27734241124198,36.156303807853114,86.76136363636365,0.8911760002374649,20.0,54.78988260647793
llama3_8b,5,25.704755380137478,49.000507040018334,76.9577308656256,0.9148593723773957,20.0,89.23346879226976
mistral,1,19.742049450452946,40.20983189996527,181.10745207173778,0.5419131115078926,40.0,-66.96425957053032
mistral,2,13.266742073664512,35.44801753580325,195.4404761904762,0.8656190365552903,20.0,-60.16381292547942
mistral,3,25.11433723589534,52.10256611646794,219.61111111111114,0.8861650198698043,20.0,-53.777705771767415
mistral,4,17.51279859074938,39.95321452509045,156.59469696969697,0.8742059350013733,20.0,-11.708090353719825
mistral,5,30.994671129530957,54.50214315699168,176.36162521688837,0.8970133692026139,20.0,-1.163474010104352
phi3_14b,1,17.720896097861136,40.065289679309146,134.4080408678623,0.5601263910531997,40.0,-20.609215985372046
phi3_14b,2,13.565116571353496,35.061157781110396,130.21825396825395,0.882254746556282,20.0,6.633495039838152
phi3_14b,3,27.375135146486997,49.69776463763249,249.82936507936506,0.8961063683032989,20.0,-83.14582846491567
phi3_14b,4,13.91788552545744,36.65819100113681,234.65025252525257,0.8692026734352112,20.0,-97.1539086551372
phi3_14b,5,27.467883611428654,50.10532126873609,180.22310584152692,0.8879224449396134,20.0,-13.85765646740083
phi3_8b,1,9.871848139824925,30.54117640319954,578.4270317975675,0.5538737341761589,40.0,-482.6266338369271
phi3_8b,2,4.877918493259835,28.158637839600267,693.1507936507938,0.8577096045017243,20.0,-574.3432768677613
phi3_8b,3,15.094906508894278,35.19250751017877,714.3571428571429,0.8774225294589997,20.0,-576.3274758921699
phi3_8b,4,11.582354070418894,37.749195102101524,120.32828282828282,0.8936200797557831,20.0,18.36527431981591
phi3_8b,5,11.665109716053243,41.04692334533094,453.35791401580883,0.8827554851770401,20.0,-312.3703324367207
qwen_14b,1,26.88808308043857,47.645716861025335,126.93107091321379,0.5630669310688973,40.0,3.909422135139849
qwen_14b,2,29.16698142686149,47.05785802949124,76.45238095238093,0.9158778876066208,20.0,91.36024726463387
qwen_14b,3,33.175790881255075,54.99805836089721,85.40079365079364,0.9141350865364075,20.0,94.1865642449994
qwen_14b,4,27.125118987124544,57.19721816421704,70.16414141414141,0.9168199509382248,20.0,105.84019083102264
qwen_14b,5,42.796459310894434,60.52951827965753,95.43281280123385,0.9184714615345001,20.0,99.74031094276812
